date,price_index,total_return_index,pe
2012-05-31,1.750,,
2012-06-29,1.605,,
2012-07-31,1.491,,
2012-08-31,1.363,,
2012-09-28,1.458,,
2012-10-31,1.406,,
2012-11-30,1.285,,
2012-12-31,1.677,,
2013-01-31,1.841,,
2013-02-28,1.822,,
2013-03-29,1.640,,
2013-04-26,1.598,,
2013-05-31,1.758,,
2013-06-28,1.381,,
2013-07-31,1.392,,
2013-08-30,1.520,,
2013-09-30,1.620,,
2013-10-31,1.584,,
2013-11-29,1.646,,
2013-12-31,1.529,,
2014-01-30,1.392,,
2014-02-28,1.372,,
2014-03-31,1.342,,
2014-04-30,1.350,,
2014-05-30,1.355,,
2014-06-30,1.380,,
2014-07-31,1.599,,
2014-08-29,1.584,,
2014-09-30,1.692,,
2014-10-31,1.755,,
2014-11-28,2.051,,
2014-12-31,2.775,,
2015-01-30,2.657,,
2015-02-27,2.795,,
2015-03-31,3.267,,
2015-04-30,3.975,,
2015-05-29,4.054,,
2015-06-30,3.720,,
2015-07-31,3.087,,
2015-08-31,2.631,,
2015-09-30,2.457,,
2015-10-30,2.821,,
2015-11-30,2.845,,
2015-12-31,3.014,,
2016-01-29,2.217,,
2016-02-29,2.151,,
2016-03-31,2.496,,
2016-04-29,2.439,,
2016-05-31,2.456,,
2016-06-30,2.448,,
2016-07-29,2.541,,
2016-08-31,2.676,,
2016-09-30,2.609,,
2016-10-31,2.683,,
2016-11-30,2.884,,
2016-12-30,2.645,,
2017-01-26,2.729,,
2017-02-28,2.787,,
2017-03-31,2.796,,
2017-04-28,2.773,,
2017-05-31,2.831,,
2017-06-30,3.026,,
2017-07-31,3.132,,
2017-08-31,3.226,,
2017-09-29,3.244,,
2017-10-31,3.404,,
2017-11-30,3.396,,
2017-12-29,3.418,,
2018-01-31,3.659,,
2018-02-28,3.408,,
2018-03-30,3.284,,
2018-04-27,3.142,,
2018-05-31,3.191,,
2018-06-29,2.925,,
2018-07-31,2.963,,
2018-08-31,2.778,,
2018-09-28,2.896,,
2018-10-31,2.593,,
2018-11-30,2.623,,
2018-12-28,2.447,,
2019-01-31,2.649,,
2019-02-28,3.110,,
2019-03-29,3.316,,
2019-04-30,3.343,,
2019-05-31,3.079,,
2019-06-28,3.306,,
2019-07-31,3.343,,
2019-08-30,3.308,,
2019-09-30,3.316,,
2019-10-31,3.392,,
2019-11-29,3.334,,
2019-12-31,3.605,,
2020-01-23,3.505,,
2020-02-28,3.442,,
2020-03-31,3.178,,
2020-04-30,3.417,,
2020-05-29,3.375,,
2020-06-30,3.687,,
2020-07-31,4.259,,
2020-08-31,4.383,,
2020-09-30,4.155,,
2020-10-30,4.266,,
2020-11-30,4.540,,
2020-12-31,4.796,,
2021-01-29,4.929,,
2021-02-26,4.910,,
2021-03-31,4.631,,
2021-04-30,4.709,,
2021-05-31,4.919,,
2021-06-30,4.837,,
2021-07-30,4.453,,
2021-08-31,4.460,,
2021-09-30,4.516,,
2021-10-29,4.562,,
2021-11-30,4.492,,
2021-12-31,4.589,,
2022-01-28,4.210,,
2022-02-28,4.227,,
2022-03-31,3.874,,
2022-04-29,3.671,,
2022-05-31,3.745,,
2022-06-30,4.164,,
2022-07-29,3.876,,
2022-08-31,3.797,,
2022-09-30,3.524,,
2022-10-31,3.221,,
2022-11-30,3.567,,
2022-12-30,3.594,,
2023-01-31,3.879,,
2023-02-28,3.791,,
2023-03-31,3.770,,
2023-04-28,3.745,,
2023-05-31,3.522,,
2023-06-30,3.602,,
2023-07-31,3.804,,
2023-08-31,3.559,,
2023-09-28,3.484,,
2023-10-31,3.364,,
2023-11-30,3.282,,
2023-12-29,3.219,,
2024-01-31,3.011,,
2024-02-29,3.292,,
2024-03-29,3.315,,
2024-04-30,3.387,,
2024-05-31,3.371,,
2024-06-28,3.276,,
2024-07-31,3.297,,
2024-08-30,3.181,,
2024-09-30,4.022,,
2024-10-31,3.760,,
2024-11-29,3.790,,
2024-12-31,3.811,,
2025-01-27,3.696,,
2025-02-28,3.783,,
2025-03-31,3.773,,
2025-04-30,3.655,,
2025-05-30,3.748,,
2025-06-30,3.859,,
2025-07-31,4.032,,
2025-08-29,4.478,,
2025-09-30,4.618,,
2025-10-31,4.633,,
2025-11-28,4.512,,
2025-12-31,4.630,,
2026-01-30,4.711,,
2026-02-27,4.725,,
2026-03-31,4.463,,
2026-04-30,4.824,,
